dataset,model,mean_rmse,min_rmse,max_rmse,std_rmse,mean_mae,min_mae,max_mae,std_mae,mean_r2,min_r2,max_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
auto_mpg,cnn_mlp,3.117077410630775,2.566749911850745,3.820222904979559,0.5050516428754899,2.212661038290553,2.006077315000805,2.3905178338537656,0.14418362750134897,0.8484297909942071,0.7894745604499336,0.8911174885563344,0.04330229741103011,5,250,79,5,2,1
auto_mpg,oracle_mlp,3.118523120880127,2.5775959491729736,3.3411545753479004,0.311674406624361,2.2332016229629517,1.977634072303772,2.611747026443481,0.27247685545563877,0.8497673392295837,0.81689453125,0.8811490535736084,0.023991442327458395,5,250,79,5,2,1
auto_mpg,prism_z_xgboost,3.1261105859830405,2.667253634284364,3.34817191096496,0.2699927857170665,2.252365172986315,2.0605936836035568,2.460575373155034,0.16216247628597724,0.8490264809494722,0.8282121166891643,0.8727371374133956,0.021211203985930214,5,250,79,5,2,1
auto_mpg,prism_z_acp_xgboost,3.138859962318867,2.7143316838177776,3.482113071116926,0.304085555030745,2.25441036038177,2.096498490872777,2.408224900906592,0.14375301591242903,0.8474490082806669,0.8141927010419159,0.8781782927425335,0.025781261890662446,5,250,79,5,2,1
auto_mpg,two_stage_mlp,3.2182600021362306,2.90531063079834,3.554309844970703,0.3067529483089383,2.315803074836731,1.8648532629013064,2.777194023132324,0.3356678467514545,0.838257122039795,0.792786180973053,0.8725838661193848,0.03615079680967667,5,250,79,5,2,1
auto_mpg,ftt_mlp,3.219976422147205,2.8111266308395173,3.623982182310594,0.3453776670187885,2.263583868464507,2.1139526945135443,2.512572607121,0.185993098140017,0.8379903855527019,0.798743860025824,0.8936979700266495,0.035899974105081785,5,250,79,5,2,1
auto_mpg,prism,3.235371494293213,2.879241943359375,3.766530752182007,0.3465160427023334,2.336319589614868,2.140998601913452,2.539611577987671,0.14664260213581187,0.837782347202301,0.7953507304191589,0.8757197260856628,0.029959423537776298,5,250,79,5,2,1
auto_mpg,simple_mlp,3.247532844543457,2.980259656906128,3.3960182666778564,0.1829379951237777,2.332375431060791,2.103057861328125,2.541991949081421,0.16515189025601507,0.837380337715149,0.8244214057922363,0.8543145060539246,0.01248998553133618,5,250,79,5,2,1
combined_cycle_power_plant,random_forest,3.5789002430043055,3.4936082087247224,3.736252173012994,0.09362533473739809,2.621258616556484,2.538311291062916,2.703188250895012,0.07003364260166048,0.9559435529202747,0.951187692724624,0.95928723999701,0.0029471939303727557,5,6123,1914,3,1,1
combined_cycle_power_plant,lightgbm,3.663895045356932,3.586044984212594,3.759881936804478,0.06571061011226453,2.755210016489132,2.6641067162624257,2.86398083984798,0.07360583027002189,0.9538583030368522,0.9519137979444784,0.957104314480304,0.001992461108987411,5,6123,1914,3,1,1
combined_cycle_power_plant,xgboost,3.7208899185780853,3.640013982864168,3.8697365601468783,0.08730017162465188,2.8340441774368546,2.7463617608040853,2.900058459673547,0.06474177998622611,0.9523845786022337,0.9476375719753184,0.955803462124394,0.0029584436241555626,5,6123,1914,3,1,1
combined_cycle_power_plant,prism_z_acp_lightgbm,3.8251256204828117,3.778672261281161,3.906782620818333,0.04883202800595381,2.8672966403427256,2.7901742618681107,2.942818965834708,0.056966332313306216,0.94970395146416,0.9466302130088656,0.9523721916431568,0.002135677917899816,5,6123,1914,3,1,1
combined_cycle_power_plant,prism_z_lightgbm,3.8289585755134845,3.779103403289537,3.906337289909905,0.05007134499795367,2.867425713477535,2.7739414261923847,2.924270940774579,0.05783691139360081,0.9496044369890377,0.9466423794708512,0.951772945022432,0.0021125061180552233,5,6123,1914,3,1,1
combined_cycle_power_plant,prism_z_acp_random_forest,3.8319778041495427,3.7816446610896426,3.919216107912364,0.06049365201083168,2.844096201738581,2.743549261066033,2.949666540904558,0.07411788377749645,0.9495165440959428,0.9462899696193748,0.9522972316786552,0.002434877220138724,5,6123,1914,3,1,1
combined_cycle_power_plant,prism_z_random_forest,3.834791937638081,3.787879762058223,3.923176083054393,0.0599497870139311,2.846183714976017,2.747300512534624,2.9478803260478013,0.0716624836671796,0.9494432912969142,0.94618137757929,0.9521397992367976,0.0024109194722258492,5,6123,1914,3,1,1
combined_cycle_power_plant,oracle_mlp,3.8371834754943848,3.7669894695281982,3.9704203605651855,0.0888152786468969,2.899302768707275,2.866588830947876,2.9312517642974854,0.02641140357569331,0.9493890047073364,0.9463777542114258,0.9521766901016236,0.002487454010276696,5,6123,1914,3,1,1
combined_cycle_power_plant,prism_z_acp_xgboost,3.905814525774415,3.852568404555552,4.006890148053566,0.059297256270078307,2.9773528477806472,2.901918441281332,3.036887624789566,0.04971098605023909,0.9475552626697608,0.9438600725051371,0.9504911471460452,0.0024368941095175706,5,6123,1914,3,1,1
combined_cycle_power_plant,prism_z_xgboost,3.9159207066395694,3.8751126422843054,4.025857413417472,0.0625669323808078,2.9878781039718287,2.9015316672286997,3.043901439593472,0.05363029675360979,0.9472839325443253,0.9433273196148813,0.9499100257170026,0.002476076615219029,5,6123,1914,3,1,1
combined_cycle_power_plant,prism,3.9739028453826903,3.88547945022583,4.122528553009033,0.09038798128623003,3.0318958282470705,2.9605391025543213,3.1063942909240723,0.07053958310585975,0.9456995248794555,0.9405729174613952,0.9486825466156006,0.0031275608297787836,5,6123,1914,3,1,1
combined_cycle_power_plant,cnn_mlp,4.059461093486219,3.944990511317536,4.22390256341434,0.10899631772844998,3.142545895618329,3.06582731431592,3.2163625956745485,0.055972073814687766,0.9433181134405345,0.9376143422991045,0.9480872456082816,0.003792193714589155,5,6123,1914,3,1,1
combined_cycle_power_plant,two_stage_mlp,4.08976469039917,3.997882843017578,4.217414379119873,0.08125183067151404,3.140977478027344,3.0533246994018555,3.169379472732544,0.049756025665189677,0.9425044298171997,0.9378058314323424,0.9444655776023864,0.0027575615847303912,5,6123,1914,3,1,1
