dataset,model,mean_mse,min_mse,max_mse,std_mse,mean_rmse,std_rmse,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets,target_mse_json_mean
auto_mpg,cnn_mlp,9.920233313441642,6.5882051099858066,14.594103043730462,3.2452918481641064,3.117077410630775,0.5050516428754899,0.8484297909942071,0.04330229741103011,5,250,79,5,2,1,"{""target_mpg"": 9.920233313441642}"
auto_mpg,prism_z_acp_xgboost,9.926416282871083,7.367596489777052,12.125111440043352,1.8893425292453354,3.138859962318867,0.304085555030745,0.8474490082806669,0.025781261890662446,5,250,79,5,2,1,"{""target_mpg"": 9.926416282871084}"
auto_mpg,two_stage_mlp,10.43247533838687,8.440829861429847,12.633118474055664,1.9986712519199983,3.2182600021362306,0.3067529483089383,0.838257122039795,0.03615079680967667,5,250,79,5,2,1,"{""target_mpg"": 10.43247533838687}"
auto_mpg,ftt_mlp,10.46367674548419,7.902432934615136,13.133246857704655,2.2104305649249976,3.219976422147205,0.3453776670187885,0.8379903855527019,0.035899974105081785,5,250,79,5,2,1,"{""target_mpg"": 10.46367674548419}"
auto_mpg,prism,10.563687400365165,8.29003416839987,14.186753907132754,2.314769305061662,3.235371494293213,0.3465160427023334,0.837782347202301,0.029959423537776298,5,250,79,5,2,1,"{""target_mpg"": 10.563687400365165}"
auto_mpg,simple_mlp,10.573242624436443,8.881947622582231,11.532940067609672,1.1689796692603442,3.247532844543457,0.1829379951237777,0.837380337715149,0.01248998553133618,5,250,79,5,2,1,"{""target_mpg"": 10.573242624436443}"
combined_cycle_power_plant,random_forest,12.815539512020024,12.205298316068763,13.95958030034432,0.6785520613415552,3.5789002430043055,0.09362533473739809,0.9559435529202747,0.0029471939303727557,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 12.815539512020024}"
combined_cycle_power_plant,lightgbm,13.427581210816134,12.859718628796303,14.136712178708592,0.48308176931227437,3.663895045356932,0.06571061011226453,0.9538583030368522,0.001992461108987411,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 13.427581210816138}"
combined_cycle_power_plant,xgboost,13.851118842148585,13.24970179544666,14.974861044937395,0.6574721121789908,3.7208899185780853,0.08730017162465188,0.9523845786022337,0.0029584436241555626,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 13.851118842148585}"
combined_cycle_power_plant,prism_z_acp_lightgbm,14.633493666041357,14.278364058175683,15.262950446328166,0.37577299064288877,3.8251256204828117,0.04883202800595381,0.94970395146416,0.002135677917899816,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 14.633493666041357}"
combined_cycle_power_plant,prism_z_lightgbm,14.662929484670176,14.281622532754561,15.259471022540662,0.38504101883550756,3.8289585755134845,0.05007134499795367,0.9496044369890377,0.0021125061180552233,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 14.662929484670176}"
combined_cycle_power_plant,prism_z_acp_random_forest,14.686981477041636,14.300836342747798,15.360254900519738,0.46556269744128126,3.8319778041495427,0.06049365201083168,0.9495165440959428,0.002434877220138724,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 14.686981477041636}"
combined_cycle_power_plant,prism_z_random_forest,14.708504386544439,14.34803309181026,15.391310578650009,0.4618980364270313,3.834791937638081,0.0599497870139311,0.9494432912969142,0.0024109194722258492,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 14.708504386544439}"
combined_cycle_power_plant,oracle_mlp,14.730287547584066,14.190209663536336,15.764237839590578,0.6866055500901422,3.8371834754943848,0.0888152786468969,0.9493890047073364,0.002487454010276696,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 14.730287547584066}"
combined_cycle_power_plant,prism_z_acp_xgboost,15.258200041431348,14.842283311779711,16.05516865856873,0.4668358435986715,3.905814525774415,0.059297256270078307,0.9475552626697608,0.0024368941095175706,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 15.258200041431348}"
combined_cycle_power_plant,prism_z_xgboost,15.33756667751058,15.016497990391658,16.20752791316842,0.4948297115126746,3.9159207066395694,0.0625669323808078,0.9472839325443253,0.002476076615219029,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 15.33756667751058}"
combined_cycle_power_plant,prism,15.798439814269443,15.096950558127219,16.995241670374753,0.7251988253973355,3.9739028453826903,0.09038798128623003,0.9456995248794555,0.0031275608297787836,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 15.798439814269443}"
combined_cycle_power_plant,cnn_mlp,16.48872852735102,15.562950134385394,17.84135286521823,0.8911358336372517,4.059461093486219,0.10899631772844998,0.9433181134405345,0.003792193714589155,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 16.48872852735102}"
combined_cycle_power_plant,two_stage_mlp,16.731456710825796,15.983067226494313,17.786584045207064,0.6684887445320508,4.08976469039917,0.08125183067151404,0.9425044298171997,0.0027575615847303912,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 16.731456710825796}"
combined_cycle_power_plant,ftt_mlp,16.795857214720048,16.317355207788985,17.57562216647834,0.4711652259034657,4.097956067816648,0.05715418800014784,0.9422790061866075,0.002335832611362966,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 16.795857214720048}"
combined_cycle_power_plant,simple_mlp,16.83625397774231,16.3070391894953,17.773152968848308,0.5914362010095707,4.102700424194336,0.07161709867346631,0.9421347379684448,0.0027802012488268584,5,6123,1914,3,1,1,"{""target_net_hourly_electrical_energy"": 16.83625397774231}"
concrete_slump_test,prism,6.518362122412418,4.761899872510696,9.632985768444598,2.0240134046059963,2.5300546646118165,0.382729533235298,0.8959560751914978,0.04619984558165735,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 6.518362122412418}"
concrete_slump_test,simple_mlp,6.641283738458313,3.9941737425415482,11.951650267180014,3.17084045026704,2.52553551197052,0.573317229195709,0.8897666335105896,0.07132165439773379,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 6.641283738458313}"
concrete_slump_test,two_stage_mlp,7.348114536307525,3.710709035157379,14.258244593344216,4.024105977411815,2.640975093841553,0.6831591048358789,0.876653254032135,0.08837404651359303,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 7.348114536307525}"
concrete_slump_test,oracle_mlp,9.153523890673037,3.8681956949797183,21.413624385941375,7.222101357201495,2.867056202888489,1.0802271868406188,0.8427547574043274,0.14892974317415117,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 9.153523890673037}"
concrete_slump_test,prism_z_xgboost,10.502240210702292,7.483476838576088,17.947905303252508,4.321970005995613,3.1937450093939965,0.6146472826683101,0.8313075105027459,0.08288369883096733,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 10.50224021070229}"
concrete_slump_test,prism_z_acp_xgboost,10.89136453887481,7.63078344976499,17.182219312195066,3.763721287645398,3.2648203360339503,0.5388792910916784,0.8252070866816237,0.07577992934053696,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 10.891364538874809}"
concrete_slump_test,prism_z_acp_lightgbm,11.053612110312766,7.899697354339456,16.70390914483666,3.480241000623171,3.2943229708351884,0.5013086301625802,0.8193555523637593,0.08762570732743755,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 11.053612110312768}"
concrete_slump_test,prism_z_lightgbm,11.256466155929921,7.784323801581736,17.13445405726404,3.7014019029545695,3.3210327825479267,0.5329251978137886,0.815572719127875,0.09160933018053456,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 11.256466155929921}"
concrete_slump_test,xgboost,14.36092419436306,7.061151482845099,21.54007118257798,5.665362130098124,3.725587772129086,0.7753385925881808,0.7766020882991004,0.08301786593859649,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 14.36092419436306}"
concrete_slump_test,prism_z_acp_random_forest,15.25150824939395,10.884726721950738,22.784300795726452,5.016844395883338,3.8655909995690494,0.6212029393087962,0.7583664856259872,0.0954170083218239,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 15.25150824939395}"
concrete_slump_test,prism_z_random_forest,15.392229111137237,11.215799238452192,23.507436491543885,5.435055207927527,3.877473603502088,0.6684193718035243,0.7554075547752694,0.10288246958346839,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 15.392229111137237}"
concrete_slump_test,random_forest,17.968367397502146,14.217082512819832,21.697833109532,3.017342430620646,4.226851230633651,0.35723954077224784,0.7172919567551945,0.06803559931548564,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 17.968367397502146}"
concrete_slump_test,lightgbm,20.98116109636816,11.370896404605256,26.04440800460902,5.813514637171077,4.538555471025619,0.6916242954013904,0.6649078084828414,0.12177934032501915,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 20.981161096368158}"
concrete_slump_test,cnn_mlp,22.01253277942288,12.211008870626173,33.15847443000986,8.68448985516872,4.614591991292493,0.9474132765866106,0.6357536609825224,0.19515772063491643,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 22.01253277942288}"
concrete_slump_test,ftt_mlp,22.513508153111964,14.157446510900552,35.25213107374552,8.790061972525098,4.675699238145802,0.9023197794537254,0.6305316299424841,0.20318904971431032,5,65,21,7,2,1,"{""target_compressive_strength_28d"": 22.51350815311196}"
energy_efficiency,prism,0.9835675270898896,0.6497486045648202,1.2079408734990125,0.21776796798255904,0.9864282250404358,0.11471096249631611,0.9889649987220764,0.0021598950435105205,5,491,154,8,1,1,"{""target_cooling_load"": 0.9835675270898896}"
energy_efficiency,xgboost,1.4182958474759952,1.1160987633908714,1.8586579628892888,0.2722088051370973,1.1867376306438169,0.11152154214486208,0.9840681216862996,0.002551505405512892,5,491,154,8,1,1,"{""target_cooling_load"": 1.4182958474759952}"
energy_efficiency,lightgbm,1.4645385884800781,1.0809261788005144,1.8036760444434274,0.29680213058315613,1.2051091047352205,0.12374688967986819,0.9835347990971373,0.003025853850693589,5,491,154,8,1,1,"{""target_cooling_load"": 1.4645385884800781}"
energy_efficiency,oracle_mlp,1.6292672983028695,1.2515249585906076,1.8536417418776097,0.23217820336020328,1.2736500740051269,0.09409295463532381,0.9815826296806336,0.0028578225782314314,5,491,154,8,1,1,"{""target_cooling_load"": 1.6292672983028695}"
energy_efficiency,simple_mlp,1.8255317871771382,1.329980014988962,2.136784248016056,0.31187296433816974,1.346858763694763,0.11991276952305926,0.97947758436203,0.0031063349599324305,5,491,154,8,1,1,"{""target_cooling_load"": 1.8255317871771382}"
energy_efficiency,cnn_mlp,2.0888961412402076,1.925710784142424,2.347458946496882,0.1616910940036056,1.4444564405710665,0.05524640862731038,0.9764695301627941,0.0011645103179948753,5,491,154,8,1,1,"{""target_cooling_load"": 2.088896141240208}"
energy_efficiency,prism_z_acp_lightgbm,2.3190387827096943,1.8496216420397689,2.935120890353678,0.4484831588683683,1.5171566148807467,0.14694637046082779,0.973972337649551,0.004116427033205086,5,491,154,8,1,1,"{""target_cooling_load"": 2.3190387827096943}"
