dataset,model,mean_rmse,std_rmse,mean_mae,mean_r2,std_r2,n_seeds,n_train,n_test,n_features,n_intermediates,n_targets
airfoil_self_noise,prism_z_random_forest,2.498109304633456,0.30067137478101214,1.820210865012708,0.8650027121079109,0.026469091494436305,5,961,301,4,1,1
airfoil_self_noise,two_stage_mlp,2.6181175231933596,0.21698549873399872,1.854206347465515,0.8517207622528076,0.02457295297535047,5,961,301,4,1,1
airfoil_self_noise,simple_mlp,3.066904401779175,0.21447474823557527,2.194262981414795,0.7967238903045655,0.028912005819051838,5,961,301,4,1,1
average_localization_error,prism_z_random_forest,0.2733781213404688,0.1125743028654724,0.20146600625371835,0.486600666746478,0.11144205502859238,5,68,22,3,1,1
average_localization_error,lightgbm,0.2738108443310427,0.11291429564674112,0.19476122017536485,0.4847936495653622,0.08297014143239886,5,68,22,3,1,1
average_localization_error,prism_z_acp_random_forest,0.2741617735720755,0.11210143386681502,0.20169851074895492,0.483119977391805,0.10976566028186065,5,68,22,3,1,1
average_localization_error,random_forest,0.279574467956883,0.11047996081231642,0.2060980930439016,0.4609545763411485,0.09011235856756047,5,68,22,3,1,1
average_localization_error,prism_z_acp_lightgbm,0.28058781571433644,0.11989109285612543,0.20609680583491463,0.4611812630865863,0.1195611609362582,5,68,22,3,1,1
average_localization_error,prism_z_lightgbm,0.28203926194697904,0.11935315990231585,0.20684531240667664,0.45520313460048395,0.11948507811688017,5,68,22,3,1,1
average_localization_error,xgboost,0.28514271497259663,0.10297471646409775,0.20952079259207657,0.42629506629727,0.12664805301852342,5,68,22,3,1,1
average_localization_error,oracle_mlp,0.28844515681266786,0.06843445516695863,0.20145629942417145,0.370543372631073,0.18435173669700905,5,68,22,3,1,1
average_localization_error,ftt_mlp,0.2903495391196363,0.11083243684716357,0.21235936575627967,0.4065807408557752,0.14314071135748996,5,68,22,3,1,1
average_localization_error,prism_z_xgboost,0.2948919440484016,0.10664436392617865,0.21767237351218421,0.38961462775718403,0.10609359376111915,5,68,22,3,1,1
average_localization_error,prism_z_acp_xgboost,0.2958199555863542,0.10898946651193409,0.21803150100918872,0.388648895046017,0.09721188477880588,5,68,22,3,1,1
average_localization_error,cnn_mlp,0.29863037361376504,0.10587449190671555,0.21331608702697785,0.3610442246551933,0.16027818002342836,5,68,22,3,1,1
average_localization_error,prism,0.3008369028568268,0.10595462424129155,0.23508215844631195,0.3501654028892517,0.17637933334324835,5,68,22,3,1,1
average_localization_error,two_stage_mlp,0.3054808884859085,0.08913158557460489,0.22919971644878387,0.32191928625106814,0.13306365422640656,5,68,22,3,1,1
average_localization_error,simple_mlp,0.30774750709533694,0.10507337775769504,0.2314675271511078,0.3318169593811035,0.07182387083725776,5,68,22,3,1,1
concrete_slump_test,simple_mlp,2.52553551197052,0.5733172291957089,1.9932696342468261,0.8897666335105896,0.07132165439773377,5,65,21,7,2,1
concrete_slump_test,prism,2.5300546646118165,0.382729533235298,1.98775475025177,0.8959560751914978,0.046199845581657364,5,65,21,7,2,1
concrete_slump_test,two_stage_mlp,2.640975093841553,0.6831591048358788,1.994923210144043,0.876653254032135,0.08837404651359303,5,65,21,7,2,1
concrete_slump_test,oracle_mlp,2.867056202888489,1.0802271868406188,2.315611982345581,0.8427547574043274,0.1489297431741511,5,65,21,7,2,1
concrete_slump_test,prism_z_xgboost,3.1937450093939965,0.6146472826683101,2.5401920845539516,0.8313075105027459,0.08288369883096736,5,65,21,7,2,1
concrete_slump_test,prism_z_acp_xgboost,3.2648203360339503,0.5388792910916784,2.5532731770934722,0.8252070866816237,0.07577992934053696,5,65,21,7,2,1
concrete_slump_test,prism_z_acp_lightgbm,3.2943229708351884,0.5013086301625802,2.5522365487089376,0.8193555523637593,0.08762570732743755,5,65,21,7,2,1
concrete_slump_test,prism_z_lightgbm,3.3210327825479276,0.5329251978137886,2.559808558799638,0.815572719127875,0.09160933018053456,5,65,21,7,2,1
concrete_slump_test,xgboost,3.725587772129085,0.7753385925881807,2.815055401812361,0.7766020882991004,0.08301786593859649,5,65,21,7,2,1
concrete_slump_test,prism_z_acp_random_forest,3.8655909995690494,0.6212029393087962,3.0211707264452476,0.7583664856259872,0.0954170083218239,5,65,21,7,2,1
concrete_slump_test,prism_z_random_forest,3.877473603502088,0.6684193718035243,3.059810705949343,0.7554075547752694,0.10288246958346839,5,65,21,7,2,1
concrete_slump_test,random_forest,4.226851230633651,0.35723954077224784,3.2249536368477165,0.7172919567551945,0.06803559931548564,5,65,21,7,2,1
concrete_slump_test,lightgbm,4.538555471025619,0.6916242954013904,3.829823994222617,0.6649078084828414,0.12177934032501915,5,65,21,7,2,1
concrete_slump_test,cnn_mlp,4.614591991292493,0.9474132765866106,3.364445744005161,0.6357536609825224,0.19515772063491643,5,65,21,7,2,1
concrete_slump_test,ftt_mlp,4.675699238145802,0.9023197794537254,3.7987865234526046,0.6305316299424841,0.20318904971431032,5,65,21,7,2,1
electrical_grid_stability,oracle_mlp,0.0065146336331963536,0.00022672448046956933,0.004007726488634944,0.9688099026679993,0.0017880802005682795,5,6400,2000,3,9,1
electrical_grid_stability,ftt_mlp,0.032567696600098624,0.0005825771028958437,0.02722417514246327,0.22089967710164168,0.01303212324354768,5,6400,2000,3,9,1
electrical_grid_stability,prism,0.03257518857717514,0.0005411511102010746,0.02722395323216915,0.22047802209854125,0.015460450748713604,5,6400,2000,3,9,1
