dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group
airfoil_self_noise,4,prism_z_acp_lightgbm,1503,961,241,301,4,1,1,2.0590377130993627,1.5378604928867488,0.9117576622563349,"{""target_scaled_sound_pressure_level"": 2.0590377130993627}","{""target_scaled_sound_pressure_level"": 0.9117576622563349}",,,0,0,0,False
airfoil_self_noise,4,prism_z_random_forest,1503,961,241,301,4,1,1,2.170838238873353,1.648335143799445,0.9019148346239253,"{""target_scaled_sound_pressure_level"": 2.170838238873353}","{""target_scaled_sound_pressure_level"": 0.9019148346239253}",,,0,0,0,False
airfoil_self_noise,4,prism_z_xgboost,1503,961,241,301,4,1,1,2.2236863363906205,1.6942914950079495,0.8970810237102596,"{""target_scaled_sound_pressure_level"": 2.2236863363906205}","{""target_scaled_sound_pressure_level"": 0.8970810237102596}",,,0,0,0,False
airfoil_self_noise,4,prism_z_lightgbm,1503,961,241,301,4,1,1,2.091947320282911,1.5714685685296403,0.908914364982167,"{""target_scaled_sound_pressure_level"": 2.091947320282911}","{""target_scaled_sound_pressure_level"": 0.908914364982167}",,,0,0,0,False
airfoil_self_noise,5,simple_mlp,1503,961,241,301,4,1,1,3.390963315963745,2.4345715045928955,0.7551490664482117,"{""target_scaled_sound_pressure_level"": 3.390963315963745}","{""target_scaled_sound_pressure_level"": 0.7551490664482117}",,,0,0,0,False
airfoil_self_noise,5,random_forest,1503,961,241,301,4,1,1,2.2191298467794693,1.5617606679224731,0.8951373110553665,"{""target_scaled_sound_pressure_level"": 2.2191298467794693}","{""target_scaled_sound_pressure_level"": 0.8951373110553665}",,,0,0,0,False
airfoil_self_noise,5,xgboost,1503,961,241,301,4,1,1,2.3826253429010467,1.781474382419412,0.8791164864831535,"{""target_scaled_sound_pressure_level"": 2.3826253429010467}","{""target_scaled_sound_pressure_level"": 0.8791164864831535}",,,0,0,0,False
airfoil_self_noise,5,lightgbm,1503,961,241,301,4,1,1,2.277129727762263,1.6905760599419384,0.8895842296673018,"{""target_scaled_sound_pressure_level"": 2.277129727762263}","{""target_scaled_sound_pressure_level"": 0.8895842296673018}",,,0,0,0,False
airfoil_self_noise,5,cnn_mlp,1503,961,241,301,4,1,1,1.735679099291757,1.2371299239973716,0.9358503297498857,"{""target_scaled_sound_pressure_level"": 1.735679099291757}","{""target_scaled_sound_pressure_level"": 0.9358503297498857}",,,0,0,0,False
airfoil_self_noise,5,ftt_mlp,1503,961,241,301,4,1,1,2.2802238613770887,1.66628159688697,0.8892839628435453,"{""target_scaled_sound_pressure_level"": 2.2802238613770887}","{""target_scaled_sound_pressure_level"": 0.8892839628435453}",,,0,0,0,False
