dataset,seed,model,n_rows,n_train,n_val,n_test,n_features,n_intermediates,n_targets,mean_rmse,mean_mae,mean_r2,target_rmse_json,target_r2_json,dropped_all_nan_cols,split_group_col,train_val_group_overlap,train_test_group_overlap,val_test_group_overlap,target_constant_within_group,mean_mse,target_mse_json
air_quality,5,prism_z_acp_random_forest,6941,3700,926,2315,7,5,4,73.56490444276149,54.59307871568737,-0.1147038510238109,"{""target_benzene"": 7.256872657057569, ""target_co"": 1.3797578030268138, ""target_no2"": 50.8569934539337, ""target_nox"": 234.7659938570279}","{""target_benzene"": -0.162652122454781, ""target_co"": 0.049865083650612374, ""target_no2"": -0.10704411171744477, ""target_nox"": -0.23898425357363018}",,,0,0,0,False,14439.017896801819,"{""target_benzene"": 52.662200760749776, ""target_co"": 1.90373159501338, ""target_no2"": 2586.4337831734547, ""target_nox"": 55115.07187167806}"
air_quality,5,prism_z_acp_xgboost,6941,3700,926,2315,7,5,4,77.81299849715555,58.08086562731266,-0.1394359809063633,"{""target_benzene"": 7.114802488670626, ""target_co"": 1.3411968296271137, ""target_no2"": 51.11932834467902, ""target_nox"": 251.6766663256454}","{""target_benzene"": -0.11757449276495757, ""target_co"": 0.10223101711216698, ""target_no2"": -0.1184944669745891, ""target_nox"": -0.42390598099807364}",,,0,0,0,False,16501.68733164749,"{""target_benzene"": 50.62041445279373, ""target_co"": 1.798808935801821, ""target_no2"": 2613.1857304111036, ""target_nox"": 63341.14437279026}"
air_quality,5,prism_z_acp_lightgbm,6941,3700,926,2315,7,5,4,77.84801435369131,58.41297841724193,-0.1442200237179803,"{""target_benzene"": 7.1694509026705555, ""target_co"": 1.3332200068318423, ""target_no2"": 51.471865490147934, ""target_nox"": 251.41752101511494}","{""target_benzene"": -0.13480848498035036, ""target_co"": 0.11287829532961824, ""target_no2"": -0.13397473690908668, ""target_nox"": -0.4209751683121026}",,,0,0,0,False,16478.325328063514,"{""target_benzene"": 51.40102624580364, ""target_co"": 1.7774755866166976, ""target_no2"": 2649.352937035882, ""target_nox"": 63210.76987338576}"
air_quality,5,prism_z_random_forest,6941,3700,926,2315,7,5,4,67.93621567181079,51.80650439266381,0.0539233250141152,"{""target_benzene"": 6.650220979785748, ""target_co"": 1.2411467075190572, ""target_no2"": 48.175951104219, ""target_nox"": 215.67754389571934}","{""target_benzene"": 0.023610865667433978, ""target_co"": 0.2311780047271561, ""target_no2"": 0.00659999737401773, ""target_nox"": -0.04569556771214667}",,,0,0,0,False,12220.872772478904,"{""target_benzene"": 44.22543907998251, ""target_co"": 1.5404451495853961, ""target_no2"": 2320.9222647961, ""target_nox"": 46516.802940889946}"
air_quality,5,prism_z_xgboost,6941,3700,926,2315,7,5,4,73.69508495275528,56.09716464055691,-0.0070535074362172,"{""target_benzene"": 6.710728187948886, ""target_co"": 1.197178244726017, ""target_no2"": 49.60265255013946, ""target_nox"": 237.26978082820673}","{""target_benzene"": 0.005762633321759525, ""target_co"": 0.28468522943824615, ""target_no2"": -0.05310909840470157, ""target_nox"": -0.2655527941001732}",,,0,0,0,False,14700.959785709323,"{""target_benzene"": 45.03387281253174, ""target_co"": 1.4332357496452672, ""target_no2"": 2460.4231400098565, ""target_nox"": 56296.94889426526}"
air_quality,5,prism_z_lightgbm,6941,3700,926,2315,7,5,4,75.25226201232421,57.48692894829446,-0.06150819620757,"{""target_benzene"": 6.974694895124689, ""target_co"": 1.2453792359960068, ""target_no2"": 50.08779037352412, ""target_nox"": 242.70118354465203}","{""target_benzene"": -0.0739924122255029, ""target_co"": 0.22592542752740707, ""target_no2"": -0.07380966453667992, ""target_nox"": -0.3241561355955045}",,,0,0,0,False,15365.712144199624,"{""target_benzene"": 48.646368880078406, ""target_co"": 1.5509694414499975, ""target_no2"": 2508.7867445020956, ""target_nox"": 58903.86449397487}"
parkinsons_telemonitoring,1,simple_mlp,5875,3667,960,1248,19,1,1,12.533767700195312,10.282916069030762,-0.4280663728713989,"{""target_total_updrs"": 12.533767700195312}","{""target_total_updrs"": -0.4280663728713989}",,ID_subject,0,0,0,False,157.0953327624593,"{""target_total_updrs"": 157.0953327624593}"
parkinsons_telemonitoring,1,random_forest,5875,3667,960,1248,19,1,1,11.199107433659464,9.24601200192259,-0.1401236192010568,"{""target_total_updrs"": 11.199107433659465}","{""target_total_updrs"": -0.14012361920105687}",,ID_subject,0,0,0,False,125.4200073106467,"{""target_total_updrs"": 125.4200073106467}"
parkinsons_telemonitoring,1,xgboost,5875,3667,960,1248,19,1,1,11.152163736400963,9.331363697936148,-0.1305854583971248,"{""target_total_updrs"": 11.152163736400963}","{""target_total_updrs"": -0.13058545839712488}",,ID_subject,0,0,0,False,124.3707560034967,"{""target_total_updrs"": 124.3707560034967}"
parkinsons_telemonitoring,1,lightgbm,5875,3667,960,1248,19,1,1,10.836058343751166,8.88632180419479,-0.0674014548898875,"{""target_total_updrs"": 10.836058343751166}","{""target_total_updrs"": -0.06740145488988758}",,ID_subject,0,0,0,False,117.42016042917926,"{""target_total_updrs"": 117.42016042917926}"
parkinsons_telemonitoring,1,cnn_mlp,5875,3667,960,1248,19,1,1,10.591387450466286,8.15497204068501,-0.0197432331366305,"{""target_total_updrs"": 10.591387450466286}","{""target_total_updrs"": -0.01974323313663051}",,ID_subject,0,0,0,False,112.17748812589473,"{""target_total_updrs"": 112.17748812589473}"
parkinsons_telemonitoring,1,ftt_mlp,5875,3667,960,1248,19,1,1,11.58182451624021,8.552777611163556,-0.2193800398811642,"{""target_total_updrs"": 11.58182451624021}","{""target_total_updrs"": -0.21938003988116428}",,ID_subject,0,0,0,False,134.13865912498278,"{""target_total_updrs"": 134.13865912498278}"
parkinsons_telemonitoring,1,two_stage_mlp,5875,3667,960,1248,19,1,1,11.050506591796877,9.508254051208496,-0.1100677251815795,"{""target_total_updrs"": 11.050506591796875}","{""target_total_updrs"": -0.11006772518157959}",,ID_subject,0,0,0,False,122.11369593534619,"{""target_total_updrs"": 122.11369593534619}"
parkinsons_telemonitoring,1,oracle_mlp,5875,3667,960,1248,19,1,1,4.766788959503174,3.4703497886657715,0.7934443950653076,"{""target_total_updrs"": 4.766788959503174}","{""target_total_updrs"": 0.7934443950653076}",,ID_subject,0,0,0,False,22.72227698444135,"{""target_total_updrs"": 22.72227698444135}"
parkinsons_telemonitoring,1,prism,5875,3667,960,1248,19,1,1,10.664263725280762,8.516316413879395,-0.0338246822357177,"{""target_total_updrs"": 10.664263725280762}","{""target_total_updrs"": -0.03382468223571777}",,ID_subject,0,0,0,False,113.72652080233911,"{""target_total_updrs"": 113.72652080233911}"
parkinsons_telemonitoring,1,prism_z_acp_random_forest,5875,3667,960,1248,19,1,1,11.07078902138458,9.67411461920958,-0.1141464217104448,"{""target_total_updrs"": 11.07078902138458}","{""target_total_updrs"": -0.11414642171044487}",,ID_subject,0,0,0,False,122.56236955600936,"{""target_total_updrs"": 122.56236955600936}"
parkinsons_telemonitoring,1,prism_z_acp_xgboost,5875,3667,960,1248,19,1,1,11.57514121173763,9.947544840970211,-0.217973156749071,"{""target_total_updrs"": 11.57514121173763}","{""target_total_updrs"": -0.21797315674907103}",,ID_subject,0,0,0,False,133.9838940716669,"{""target_total_updrs"": 133.9838940716669}"
parkinsons_telemonitoring,1,prism_z_acp_lightgbm,5875,3667,960,1248,19,1,1,11.61288463398776,9.949402949437014,-0.2259290724445863,"{""target_total_updrs"": 11.612884633987761}","{""target_total_updrs"": -0.22592907244458638}",,ID_subject,0,0,0,False,134.85908952230906,"{""target_total_updrs"": 134.85908952230906}"
parkinsons_telemonitoring,1,prism_z_random_forest,5875,3667,960,1248,19,1,1,11.081408568489694,9.768721046796903,-0.1162849152037017,"{""target_total_updrs"": 11.081408568489694}","{""target_total_updrs"": -0.11628491520370177}",,ID_subject,0,0,0,False,122.79761586179681,"{""target_total_updrs"": 122.79761586179681}"
parkinsons_telemonitoring,1,prism_z_xgboost,5875,3667,960,1248,19,1,1,11.576971481218466,10.12099622756138,-0.2183583607477679,"{""target_total_updrs"": 11.576971481218466}","{""target_total_updrs"": -0.21835836074776793}",,ID_subject,0,0,0,False,134.02626867694568,"{""target_total_updrs"": 134.02626867694568}"
parkinsons_telemonitoring,1,prism_z_lightgbm,5875,3667,960,1248,19,1,1,11.690842447124767,10.12952897496889,-0.2424437521173683,"{""target_total_updrs"": 11.690842447124767}","{""target_total_updrs"": -0.24244375211736835}",,ID_subject,0,0,0,False,136.67579712349422,"{""target_total_updrs"": 136.67579712349422}"
parkinsons_telemonitoring,2,simple_mlp,5875,3587,1039,1249,19,1,1,16.313936233520508,14.04328155517578,-0.4131978750228882,"{""target_total_updrs"": 16.313936233520508}","{""target_total_updrs"": -0.4131978750228882}",,ID_subject,0,0,0,False,266.1445154313733,"{""target_total_updrs"": 266.1445154313733}"
parkinsons_telemonitoring,2,random_forest,5875,3587,1039,1249,19,1,1,17.963061683802586,16.3274861158689,-0.7133503378992299,"{""target_total_updrs"": 17.963061683802586}","{""target_total_updrs"": -0.7133503378992299}",,ID_subject,0,0,0,False,322.6715850560966,"{""target_total_updrs"": 322.6715850560966}"
parkinsons_telemonitoring,2,xgboost,5875,3587,1039,1249,19,1,1,16.103870513362068,14.686519812242969,-0.3770382118965583,"{""target_total_updrs"": 16.103870513362068}","{""target_total_updrs"": -0.3770382118965583}",,ID_subject,0,0,0,False,259.3346455111323,"{""target_total_updrs"": 259.3346455111323}"
parkinsons_telemonitoring,2,lightgbm,5875,3587,1039,1249,19,1,1,16.360236535573225,15.006873928279871,-0.4212307941328173,"{""target_total_updrs"": 16.360236535573225}","{""target_total_updrs"": -0.4212307941328173}",,ID_subject,0,0,0,False,267.657339499905,"{""target_total_updrs"": 267.657339499905}"
parkinsons_telemonitoring,2,cnn_mlp,5875,3587,1039,1249,19,1,1,14.487820568464777,13.035973861964877,-0.1145295030417636,"{""target_total_updrs"": 14.487820568464775}","{""target_total_updrs"": -0.11452950304176368}",,ID_subject,0,0,0,False,209.89694482403098,"{""target_total_updrs"": 209.89694482403098}"
